nit,razon_social,ciiu,estado,fecha_corte,activo_corriente,activo_total,pasivo_corriente,pasivo_total,ganancias_acumuladas,patrimonio,ingresos,utilidad_operacional,utilidad_neta,anio
800041463,SIPRI SOCIEDAD POR ACCIONES SIMPLIFICADA,B0710 - Extracción de minerales de hierro,ACTIVA,2018-12-31,27523.0,1702303.0,13741.0,180468.0,1451835.0,1521835.0,0.0,-18406.0,-18870.0,2018
800041723,AMCOR RIGID PACKAGING DE COLOMBIA S A S,C2229 - Fabricación de artículos de plástico n.c.p.,ACTIVA,2018-12-31,95134415.0,143893552.0,87512784.0,123501846.0,-5248729.0,20391706.0,82575455.0,-4645750.0,-12835625.0,2018
800042471,ARUS S.A.,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",ACTIVA,2018-12-31,68106327.0,100080275.0,52528511.0,64363872.0,3642561.0,35716403.0,199075706.0,10226349.0,4652073.0,2018
800042522,ACCESORIOS Y SISTEMAS SA EN REORGANIZACION,F4321 - Instalaciones eléctricas,ACTIVA,2018-12-31,23626037.0,30804957.0,9261696.0,21337634.0,2505354.0,9467323.0,22001912.0,193861.0,131890.0,2018
800044807,STEPAN COLOMBIA S.A.S.,C2011 - Fabricación de sustancias y productos químicos básicos,ACTIVA,2018-12-31,44967005.0,56664623.0,20146319.0,20146319.0,28378314.0,36518304.0,102038718.0,9372763.0,6580806.0,2018
800045228,DESCAFEINADORA COLOMBIANA SAS,"C1062 - Descafeinado, tostión y molienda del café",ACTIVA,2018-12-31,23476600.0,68639348.0,6103891.0,11579706.0,37335863.0,57059642.0,61424135.0,8256911.0,5779423.0,2018
800045720,FLOR GRES S.A. EN ACUERDO DE REESTRUCTURACION,C2392 - Fabricación de materiales de arcilla para la construcción,ACUERDO DE REESTRUCTURACIÓN,2018-12-31,1746874.0,2323864.0,538287.0,1040747.0,475962.0,1283117.0,3774369.0,-188341.0,-170942.0,2018
800045797,INDUSTRIAS ALIADAS S.A.S.,C1063 - Otros derivados del café,ACTIVA,2018-12-31,40424258.0,80964599.0,6604393.0,13860682.0,6403173.0,67103917.0,74062384.0,9237871.0,6403173.0,2018
800048191,POLYBAN INTERNACIONAL S.A.,C2221 - Fabricación de formas básicas de plástico,ACTIVA,2018-12-31,27193564.0,70209499.0,13096301.0,18550351.0,29615535.0,51659148.0,52300940.0,719702.0,1379802.0,2018
800049458,FLORVAL S.A.S.,A0125 - Cultivo de flor de corte,ACTIVA,2018-12-31,9480873.0,27039832.0,19786798.0,19786798.0,3521753.0,7253034.0,67301392.0,4121010.0,2872076.0,2018
800051319,ENERGIA Y POTENCIA S.A.S.,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,ACTIVA,2018-12-31,28824058.0,46484006.0,15266400.0,20627561.0,194755.0,25856445.0,47015046.0,-619561.0,-1301161.0,2018
800053895,SUPERFICIES COLOMBIA SAS,F4111 - Construcción de edificios residenciales,ACTIVA,2018-12-31,18364807.0,25108461.0,4979863.0,10359535.0,-3319450.0,14748926.0,224775.0,224121.0,-78700.0,2018
800057310,NEC DE COLOMBIA S.A.,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",ACTIVA,2018-12-31,189907453.0,192019749.0,182208123.0,186137430.0,-1494002.0,5882319.0,167056880.0,806562.0,2054386.0,2018
800057965,VISION SOFTWARE S.A.S.,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,ACTIVA,2018-12-31,37319854.0,38411727.0,28831655.0,28988734.0,4610497.0,9422993.0,93972535.0,1286394.0,616926.0,2018
800058607,CONTROLES EMPRESARIALES S.A.S,"G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática",ACTIVA,2018-12-31,68763635.0,85191189.0,43618888.0,58882947.0,23265716.0,26308242.0,241296548.0,3818785.0,1016285.0,2018
800059030,AGRICOLA EL  RETIRO S.A.S. EN REORGANIZACION,A0122 - Cultivo de plátano y banano,ACUERDO DE REORGANIZACION,2018-12-31,93519374.0,296170308.0,52588397.0,109373864.0,82218511.0,186796444.0,165492487.0,3192725.0,2266043.0,2018
